Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
CHE 325,"M006-RECRegular",Mo 5:15PM - 6:35PM,Hall of Languages 214,M. Sponsler,01/13/2025 - 04/28/2025,N/A
CHE 325,"M007-RECRegular",Tu 3:30PM - 4:50PM,Sims Hall 237,M. Sponsler,01/14/2025 - 04/22/2025,N/A
CHE 325,"M008-RECRegular",Tu 6:30PM - 7:50PM,Hall of Languages 115,M. Sponsler,01/14/2025 - 04/22/2025,N/A
CHE 325,"M009-RECRegular",We 6:45PM - 8:05PM,Hall of Languages 205,M. Sponsler,01/15/2025 - 04/23/2025,N/A
CHE 325,"M010-RECRegular",We 5:15PM - 6:35PM,Life Science Building 214,M. Sponsler,01/15/2025 - 04/23/2025,N/A
CHE 326,"M001-SEC Regular",Mo 3:45PM - 4:45PM,Life Science Building 001,Y. Luk,01/13/2025 - 04/28/2025,N/A
CHE 326,"M002-LAB Regular",Tu 12:30PM - 3:20PM,Life Science Building 303,Y. Luk,01/14/2025 - 04/22/2025,N/A
CHE 326,"M003-LAB Regular",Tu 6:30PM - 9:20PM,Life Science Building 303,Y. Luk,01/14/2025 - 04/22/2025,N/A
CHE 326,"M004-LAB Regular",We 12:45PM - 3:35PM,Life Science Building 303,Y. Luk,01/15/2025 - 04/23/2025,N/A
CHE 326,"M005-LAB Regular",We 6:45PM - 9:35PM,Life Science Building 303,Y. Luk,01/15/2025 - 04/23/2025,N/A
CHE 326,"M006-LAB Regular",Th 12:30PM - 3:20PM,Life Science Building 303,Y. Luk,01/16/2025 - 04/24/2025,N/A
CHE 326,"M007-LAB Regular",Mo 12:45PM - 3:35PM,Life Science Building 303,Y. Luk,01/13/2025 - 04/28/2025,N/A
CHE 326,"M008-LAB Regular",Mo 6:45PM - 9:35PM,Life Science Building 303,Y. Luk,01/13/2025 - 04/28/2025,N/A
CHE 356,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Life Science Building 200,J. Chaiken,01/14/2025 - 04/24/2025,N/A
CHE 357,"M001-SEC Regular",Mo 2:15PM - 3:35PM,Life Science Building 215,T. Korter,01/13/2025 - 04/28/2025,N/A
CHE 357,"M003-LAB Regular","Th 2:00PM - 4:45PM Th 2:00PM - 4:45PM","Life Science Building 215 Life Science Building 301","T. Korter Staff","01/16/2025 - 04/24/2025 01/16/2025 - 04/24/2025",N/A
CHE 412,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Life Science Building 011,R. Doyle,01/13/2025 - 04/28/2025,N/A
CHE 414,"M001-SEC Regular","TuTh 9:30AM - 10:50AM TuTh 9:30AM - 10:50AM","Bowne Hall 105 Science & Tech Ctr 1-132","J. French J. French","01/14/2025 - 04/24/2025 01/14/2025 - 04/24/2025",N/A
CHE 422,"M001-SEC Regular",We 2:15PM - 5:15PM,Life Science Building 101,W. Zheng,01/15/2025 - 04/23/2025,N/A
CHE 444,"M001-SEC Regular",Tu 12:30PM - 4:30PM,Life Science Building 201,D. Das,01/14/2025 - 04/22/2025,N/A
CHE 450,"M001-SEC Regular",TBA,TBA,N. Totah,01/13/2025 - 04/28/2025,N/A
CHE 450,"M002-RECRegular",TBA,TBA,C. Castaneda,01/13/2025 - 04/28/2025,N/A
CHE 450,"M012-RECRegular",TBA,TBA,K. Ruhlandt,01/13/2025 - 04/28/2025,N/A
CHE 450,"M021-RECRegular",TBA,TBA,J. Hougland,01/13/2025 - 04/28/2025,N/A
CHE 450,"M022-RECRegular",TBA,TBA,J. Chisholm,01/13/2025 - 04/28/2025,N/A
CHE 450,"M025-RECRegular",TBA,TBA,W. Zheng,01/13/2025 - 04/28/2025,N/A
CHE 450,"M026-RECRegular",TBA,TBA,N. Totah,01/13/2025 - 04/28/2025,N/A
CHE 450,"M027-RECRegular",TBA,TBA,T. Korter,01/13/2025 - 04/28/2025,N/A
CHE 450,"M029-RECRegular",TBA,TBA,D. Mozhdehi,01/13/2025 - 04/28/2025,N/A
CHE 450,"M030-RECRegular",TBA,TBA,R. Steinhardt,01/13/2025 - 04/28/2025,N/A
CHE 477,"M001-SEC Regular",Mo 2:15PM - 3:15PM,Sims Hall 237,D. Mozhdehi,01/13/2025 - 04/28/2025,N/A
CHE 575,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Life Science Building 214,N. Totah,01/14/2025 - 04/24/2025,N/A
CHE 600,"M003-SEC Regular",TuTh 12:30PM - 1:50PM,Life Science Building 215,S. Sukenik,01/14/2025 - 04/24/2025,N/A
CHE 612,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Life Science Building 011,R. Doyle,01/13/2025 - 04/28/2025,N/A
CHE 614,"M001-SEC Regular","TuTh 9:30AM - 10:50AM TuTh 9:30AM - 10:50AM","Bowne Hall 105 Science & Tech Ctr 1-132","J. French J. French","01/14/2025 - 04/24/2025 01/14/2025 - 04/24/2025",N/A
CHE 645,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 115,A. Chakraborty,01/14/2025 - 04/24/2025,N/A
CHE 686,"M001-SEC Regular",MoWeFr 11:40AM - 12:35PM,Bowne Hall 116,J. Chisholm,01/13/2025 - 04/28/2025,N/A
CHE 997,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
CHE 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
PHI 107,"M102-SEC Regular",MoWeFr 12:45PM - 1:40PM,Shaffer Art Building 221D,J. Hedger,01/13/2025 - 04/28/2025,N/A
PHI 107,"M103-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall 200,S. Chen,01/14/2025 - 04/24/2025,N/A
PHI 107,"M105-SEC Regular",MoWeFr 10:35AM - 11:30AM,LYMAN HALL 115A,J. Hedger,01/13/2025 - 04/28/2025,N/A
PHI 109,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Life Science Building 156,E. Shumener,01/14/2025 - 04/24/2025,N/A
PHI 125,"M001-SEC Regular",MoWe 10:35AM - 11:30AM,Hall of Languages 207,D. Rasmussen,01/13/2025 - 04/28/2025,N/A
PHI 125,"M002-DISRegular",Fr 9:30AM - 10:25AM,Hall of Languages 215,C. Miller,01/17/2025 - 04/25/2025,N/A
PHI 125,"M003-DISRegular",Fr 10:35AM - 11:30AM,Hall of Languages 115,C. Miller,01/17/2025 - 04/25/2025,N/A
PHI 125,"M004-DISRegular",Fr 12:45PM - 1:40PM,Hall of Languages 202,L. Zheng,01/17/2025 - 04/25/2025,N/A
PHI 175,"M003-SEC Regular",MoWe 3:45PM - 5:05PM,School of Management 306,D. Sobel,01/13/2025 - 04/28/2025,N/A
PHI 175,"M100-SEC Regular",TuTh 12:30PM - 1:25PM,Sims Hall 331,C. Bousquet,01/14/2025 - 04/24/2025,N/A
PHI 175,"M102-DISRegular",We 10:35AM - 11:30AM,Hall of Languages 101,W. Ding,01/15/2025 - 04/23/2025,N/A
PHI 192,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Eggers Hall 113,V. Nicolau Sholl De Freitas Lima,01/13/2025 - 04/28/2025,N/A
PHI 192,"M002-SEC Regular",TuTh 9:30AM - 10:50AM,LYMAN HALL 115A,K. Head,01/14/2025 - 04/24/2025,N/A
PHI 192,"M003-SEC Regular",TuTh 12:30PM - 1:50PM,Maxwell Hall 110,A. Fraser,01/14/2025 - 04/24/2025,N/A
PHI 192,"M004-SEC Regular",TuTh 2:00PM - 3:20PM,Lyman Hall 115B,A. Freiles,01/14/2025 - 04/24/2025,N/A
PHI 192,"M101-SEC Regular",MoWe 10:35AM - 11:30AM,FALK ROOM 100,K. Nisenbaum,01/13/2025 - 04/28/2025,N/A
PHI 192,"M102-DISRegular",Fr 9:30AM - 10:25AM,Hall of Languages 115,A. Zamora Buen Abad,01/17/2025 - 04/25/2025,N/A
PHI 192,"M103-DISRegular",Fr 10:35AM - 11:30AM,Sims Hall 337,A. Zamora Buen Abad,01/17/2025 - 04/25/2025,N/A
PHI 192,"M104-DISRegular",Fr 11:40AM - 12:35PM,Link Hall 200,M. Rozas Arceo,01/17/2025 - 04/25/2025,N/A
PHI 192,"M105-DISRegular",Fr 12:45PM - 1:40PM,Link Hall 200,M. Rozas Arceo,01/17/2025 - 04/25/2025,N/A
PHI 197,"M003-SEC Regular",TuTh 3:30PM - 4:50PM,Hall of Languages 215,P. Ryan,01/14/2025 - 04/24/2025,N/A
